A newer version of lightning is available (2.5.5). Would you like to upgrade? [Y/n]: Outputs will be saved to models/mdm_safetensors/mdm-85M-6e18
{'model_name': 'Diff_LLaMA_85M', 'num_of_devices': 1, 'global_batch_size': 256, 'learning_rate': 0.0002, 'micro_batch_size': 8, 'max_step': 22383, 'warmup_steps': 223, 'log_step_interval': 10, 'eval_iters': 400, 'save_step_interval': 5000, 'eval_step_interval': 999999999999, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 2e-05, 'batch_size': 256, 'gradient_accumulation_steps': 32, 'warmup_iters': 7136, 'max_iters': 716256, 'lr_decay_iters': 716256, 'log_iter_interval': 320}
Creating dataset from 252 files at data/slim_pajama/tokenized with prefix validation for split validation
Loading model with {'org': 'Lightning-AI', 'name': 'Diff_LLaMA_85M', 'block_size': 2048, 'vocab_size': 32000, 'padding_multiple': 64, 'padded_vocab_size': 32000, 'n_layer': 13, 'n_head': 10, 'n_embd': 640, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': False, 'n_query_groups': 10, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 2560, 'condense_ratio': 1}
Time to instantiate model: 0.18 seconds.
Total parameters 126,174,720
Loading checkpoint from models/mdm_safetensors/mdm-85M-6e18/mdm-85M-6e18.safetensors
Validating ...
Val iter 177:	NLL Bound 3.3888,	Exact NLL 3.1090	Diff: 0.2799
Val iter 178:	NLL Bound 3.2205,	Exact NLL 3.0366	Diff: 0.1839
Val iter 179:	NLL Bound 3.4079,	Exact NLL 3.3567	Diff: 0.0512
Val iter 180:	NLL Bound 3.3508,	Exact NLL 3.3970	Diff: -0.0462
Val iter 181:	NLL Bound 3.5783,	Exact NLL 3.4397	Diff: 0.1386
Val iter 182:	NLL Bound 3.5237,	Exact NLL 3.5222	Diff: 0.0016
Val iter 183:	NLL Bound 3.6818,	Exact NLL 3.5485	Diff: 0.1333
Val iter 184:	NLL Bound 3.4874,	Exact NLL 3.4423	Diff: 0.0452
Val iter 185:	NLL Bound 3.3136,	Exact NLL 3.3230	Diff: -0.0094
Val iter 186:	NLL Bound 3.5031,	Exact NLL 3.4067	Diff: 0.0964
Val iter 187:	NLL Bound 3.0896,	Exact NLL 2.9759	Diff: 0.1137
Val iter 188:	NLL Bound 3.4307,	Exact NLL 3.2848	Diff: 0.1459
Val iter 189:	NLL Bound 3.6578,	Exact NLL 3.6001	Diff: 0.0576
Val iter 190:	NLL Bound 3.5460,	Exact NLL 3.4381	Diff: 0.1079
Val iter 191:	NLL Bound 3.4718,	Exact NLL 3.4751	Diff: -0.0033
Val iter 192:	NLL Bound 3.2548,	Exact NLL 3.1289	Diff: 0.1260
Val iter 193:	NLL Bound 3.2221,	Exact NLL 3.2321	Diff: -0.0099
Val iter 194:	NLL Bound 2.0344,	Exact NLL 1.7969	Diff: 0.2375
Val iter 195:	NLL Bound 2.0545,	Exact NLL 1.8810	Diff: 0.1735
Val iter 196:	NLL Bound 3.6136,	Exact NLL 3.5557	Diff: 0.0579
Val iter 197:	NLL Bound 3.5405,	Exact NLL 3.3740	Diff: 0.1664
Val iter 198:	NLL Bound 3.5073,	Exact NLL 3.3388	Diff: 0.1685
Val iter 199:	NLL Bound 3.5603,	Exact NLL 3.4700	Diff: 0.0903
Val iter 200:	NLL Bound 3.5426,	Exact NLL 3.3745	Diff: 0.1681
Val iter 201:	NLL Bound 3.6769,	Exact NLL 3.6584	Diff: 0.0185
